name,selling_price,original_price,warranty,width,depth,height,color,material
Harac Study Desk,S$159.00,S$279.00,Warranty:3-Year,98,45,98,Natural,Particle Board
Tahbert Study Desk & Bench,S$149.90,S$218.90,Warranty:3-Year,Drawer(s) Storage,22.70,None,Homeble,3-Year
Eithna 1.6M 5 Doors Display Cabinet With Study Desk Set (Cream/Dusty Pink),S$879.00,"S$1,569.00",Warranty:3-Year,160,33,200,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, With Top Shelf","Glass, Melamine"
Edison Table,S$171.90,S$308.90,Warranty:1-Year,136.50,60,76.50,Grey,Particle Board
Ryszard Study Desk (Walnut),S$79.90,S$129.90,Warranty:1-Year,120,60,75,MDF Wood,14.10
Halsig Extendable Study Desk (White),S$389.00,S$700.00,Warranty:3-Year,120 - 202,50,76,White,Melamine
Marvelle 0.8M Study Desk (Black),S$49.90,S$88.90,Warranty:1-Year,80,40,97,Black,Engineered Wood
Cylix Study Desk,S$379.00,S$682.00,Warranty:3-Year,"120, 140",55,194,White,"Melamine, Particle Board"
Lynda Study Desk,S$259.00,S$389.00,Warranty:3-Year,120,55,134,"Cabinet Storage, Shelf Storage, With Top Shelf",MDF Wood
Rommey Computer Table IV,S$159.00,S$239.00,Warranty:1-Year,70,50,77,"Castor/Wheels, Keyboard Tray","MDF Wood, Steel"
Eduard Study Desk (White Wash),S$80.90,S$145.90,Warranty:1-Year,115,56,74,"Particle Board, Polypropylene",25.00
Rudelle 0.8M Study Desk (Black),S$59.90,S$99.90,Warranty:1-Year,80,40,75,MDF Wood,8.50
Imelda Adjustable Children's Study Desk and Chair (Pink),None,None,Warranty:2-Year,Pink,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",None,2-Year,Free Assembly Included
Revetir Study Desk Brown,S$55.90,S$100.90,Warranty:1-Year,90,64,85,"Particle Board, Steel",Homeble
Ammiel Study Desk I,S$419.00,S$629.00,Warranty:3-Year,80,55,172,"Cabinet Storage, Shelf Storage, Drawer(s) Storage","Laminate, MDF Wood, Solid Wood"
Darya Kids Study Desk,S$299.00,S$539.00,Warranty:3-Year,"Shelf Storage, Drawer(s) Storage, With Top Shelf",White,186,57,Melamine
Monique Study Desk,S$209.00,S$319.00,Warranty:1-Year,90,50,76,"Locking Drawer/Cabinet, Keyboard Tray",Particle Board
Lyubov 1M Study Table,S$468.00,S$599.00,Warranty:3-Year,100,58 (including handle),76,Oak Wood,Cadence
Amory Study Desk (Off-White),S$349.00,S$628.00,Warranty:3-Year,106,53,75,"Melamine, Rubber wood",Mauve
Davian 1.4M Study Desk with Guivret Chair Set (Natural/Grey),S$459.00,S$826.00,Warranty:3-Year,Natural,"Shelf Storage, Drawer(s) Storage",None,3-Year,Free Assembly Included
Freca 1.2M Study Desk (Natural/Black),S$169.00,S$304.00,Warranty:3-Year,120,60,75,Natural,"Melamine, Rubber wood"
